学年,年度,授業開始時間,科目,コメント
高3,2026,2026/8/21 9:50,理科,"本日は遺伝情報の発現について扱いました。これは生物の学習全般に言えることですが、それぞれの仕組みに意思はないので、すべてただの化学反応の連鎖であり、物質の濃度勾配によって新たな物質の濃度勾配が生まれ、それによって細胞の分化が決まっていくと考えると分かりやすくなると思います。また、実験系の問題は図表に詳しく解説が載っていることが多いので図表も適宜参照しながら進めてください。
数学は例題のみで良いので1日10～20題を目安にどんどん進めていきましょう！"
中2,2026,2026/8/20 17:20,数学,本日は一次関数の続きを扱いました。グラフの書き方、直線の式の求め方などを扱いましたが、概ね問題なく出来ていました。標準問題で前回範囲も含めて総復習した際も一部除いて完璧に解けていました。ただyの増加量を求める問題でxの増加量を式に代入していしまうなどの混同が見られたので、このあたりの用語はきちんと整理しておきましょう。
中2,2026,2026/8/20 17:20,数学,本日は比例反比例の復習から一次関数へと進みました。やや眠そうではありましたが、問いかけに対してはしっかり考えて正しく答えることが出来ていました。自分で式を作る問題では間違いも見られたものの、一緒に設問を確認するとすぐに修正することが出来ています。これで学校の範囲は追い越したので多少余裕ができますが、連立方程式の応用も完璧とは言えないので学校の宿題に早めに取り組むようにしてください！
中2,2026,2026/8/20 15:50,英語,本日は比較のまとめで定期テスト対策Bの問題を扱いました。やや日が空いたこともあり抜けている箇所もありましたが、全体としてはよく出来ていました。一方で基本的な英文の語順を間違えてしまうことがあったり、you are playのようにbe動詞と一般動詞を混在させてしまったりしていました。比較を考えながらだとこういったミスが起きやすいので、まず比較の部分を無視して英文を作ってからmoreやmostを付け加えるようにしていきましょう。後半の教科書表現は全問正解で素晴らしいです。
小6,2026,2026/8/20 12:50,国語,"本日は接続語について扱いました。短文で接続語を入れる問題は半分ほど出来ていましたが、接続語の意味について答える問題はほぼ全滅でした。その後、文章を読んで問いに答える一般的な形式の問題にも取り組みましたが、「関わる」「対して」「農村」などが読めない状況で、正答率は半分ほどとなりました。共通語と方言の話でしたが、読み終わったあとに「何の話をしてた？」と問うと方言の具体例として出てきた新潟の雪を答えるなど、文章を論理的に構造化して読むという視点がないように見受けられます。
授業では論理関係（因果関係、抽象具体、対比）について短文で学習した後、実際の問題に取り組んでいきますが、宿題で漢字語句の学習に加えてそもそも文章を読み慣れる練習も加えられればと思います。"
小5,2026,2026/8/20 11:20,国語,"最初に算数の速さの単位換算の復習を行いましたが、きちんと考えるモードになっていれば正しく答えられるが、適当に数字を当てはめるモードになってしまって見当違いな計算をすることもあるという印象です。きちんと考えれば正解になる経験を積み重ねさせていければと思います。
国語は物語文を扱いました。宿題の範囲は設問をちゃんと読んでおらず間違ってしまいましたが、改めて確認すると正しく答えることができました。後半の文章もしっかり読むことが出来ていたものの、一文を抜き出せという指示を読み飛ばして段落を丸ごと抜き出していました。こちらも算数と同様に問題への向き合い方を改善する必要があります。"
高3,2026,2026/8/20 9:50,数学,今回も引き続き基礎問題精講を進めていきました。式変形で不明点がいくつかあったようですが、基本はとりあえず展開してみる、括ってみる、通分してみる等の変形をしていけば見えてくるものがあるはずなので、手を動かして見るようにしましょう。複素数についてはこれまでの実数の世界では扱えきれなかったものを扱うというイメージを持つとよいでしょう。負の数を考えられるようになったのと感覚的には同じことです。
小5,2026,2026/8/20 9:50,算数,"本日は宿題確認から始めました。教科書レベルの問題演習でしたが、単位の変換が必要な物が出来ていませんでした。4時間30分が4.5時間になることや、時速60kmが分速1kmになることが腑に落ちていない様子でした。一旦覚えてしまうのも手なので考えさせる時間を取りつつ一度出来たら覚えさせるようにしていきます。
後半は文章題を扱いました。図だと何から計算して良いか分からなくなるため、道のり、速さ、時間の表を作って分かるところから埋めるやり方を教えたところ、比較的スムーズに解けるようになりました。ただ540m離れた2地点間の往復、などになると意味が把握できず、行きと帰りの道のりが同じ540mだと分かるまでにかなり時間がかかってしまいました文章題は問題文を読んで状況を整理することが不可欠なので、"
中3,2026,2026/8/19 18:50,数学,本日は最初に方程式の解き方を確認しました。解けてはいるものの、式変形で考えてしまうことがあったので、移項は機械的に処理していくように伝えています。その後はニ次関数の応用に取り組みました。放物線を書きながら座標を確認していく中でグラフと式の関係に納得が言ったようで、きちんと理解して進めることができました。また、文字のまま式を作ることへの抵抗も少し減ってきたのかスムーズに式を作ることが出来ていました。ただ少しパターンが変わると手が止まってしまいました。問題文も長くなってきているので一文ずつ読みながら図に書き込むようにしていきましょう。
中3,2026,2026/8/19 17:20,数学,本日は2コマ連続のためまとめて記載します。
中2,2026,2026/8/19 15:50,英語,本日は宿題確認の後現在進行形を進めました。まず宿題の箇所ですが、疑問文や否定文への書き換えは単語の意味も一切知らなくても出来るボーナス問題なので、be動詞を前に出す、一般動詞ならDo Doseをつけるという基本法則をとにかく覚えてその通りにやるように伝えました。その後の進行形の書き換えはスムーズに出来ていたので、このやり方を忘れないようにしましょう。主語が2語以上の時にやや混乱している様子だったので、theやmyは後ろの名詞とセットで一つの塊だと認識するようにすること、まず動詞を探してそれより前は主語だと思うことが重要です。
中2,2026,2026/8/19 15:50,英語,"本日はshow 人モノ、call ABの語順を扱いました。なかなか語順通りに書くことができず苦戦してしまいましたが、後半はある程度正しく書くことができるようになってきました。とにかくshow人モノ、showモノto人の語順をしっかり覚えて、常に語順を意識しながら解くようにしていきましょう。callの方はワンパターンのためか間違えずに進めることができました。
ペンの持ち方のためかかなり力が入っていて疲れやすいので、気がついた時に持ち方を正して力を入れずに書けるようにしていきましょう。"
